"rules" "support" "confidence" "coverage" "lift" "count"
"1" "{REGENCY TEA PLATE PINK} => {REGENCY TEA PLATE GREEN}" 0.0105789294899791 0.897119341563786 0.0117921094773621 60.6129123659178 218
"2" "{REGENCY TEA PLATE PINK} => {REGENCY TEA PLATE ROSES}" 0.0103362934925025 0.876543209876543 0.0117921094773621 50.3145568967296 213
"3" "{BACK DOOR} => {KEY FOB}" 0.0119862182753433 1 0.0119862182753433 49.5360576923077 247
"10" "{REGENCY TEA PLATE GREEN} => {REGENCY TEA PLATE ROSES}" 0.0123259086718105 0.832786885245902 0.0148007958460717 47.8028951093657 254
"11" "{SHED} => {KEY FOB}" 0.0140243606541466 1 0.0140243606541466 49.5360576923077 289
"12" "{SET/6 RED SPOTTY PAPER CUPS} => {SET/6 RED SPOTTY PAPER PLATES}" 0.0150919590430436 0.809895833333333 0.0186344446062018 35.661374866453 311
"13" "{PINK REGENCY TEACUP AND SAUCER} => {GREEN REGENCY TEACUP AND SAUCER}" 0.0253797253360509 0.823622047244094 0.0308147716795264 20.2534361904046 523
"20" "{PINK REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER} => {ROSES REGENCY TEACUP AND SAUCER}" 0.0134420342602028 0.860248447204969 0.0156257582374921 19.8734750577946 277
"22" "{CHARLOTTE BAG PINK POLKADOT,STRAWBERRY CHARLOTTE BAG} => {RED RETROSPOT CHARLOTTE BAG}" 0.0102877662930072 0.837944664031621 0.0122773814723152 20.1723430977799 212
"23" "{STRAWBERRY CHARLOTTE BAG,WOODLAND CHARLOTTE BAG} => {RED RETROSPOT CHARLOTTE BAG}" 0.0131023438637356 0.813253012048193 0.0161110302324453 19.5779261907443 270
