"rules" "support" "confidence" "coverage" "lift" "count"
"19" "{23172} => {23171}" 0.0134905614596982 0.911475409836066 0.0148007958460717 49.2986188201885 278
"20" "{23172} => {23170}" 0.0130538166642403 0.881967213114754 0.0148007958460717 40.8420187879904 269
"21" "{21086} => {21094}" 0.016984519823361 0.817757009345794 0.0207696413839957 31.976316302825 350
"22" "{22579} => {22578}" 0.0136361430581841 0.828908554572271 0.0164507206289125 33.2969173178768 281
"23" "{23171} => {23170}" 0.0154801766390062 0.837270341207349 0.0184888630077158 38.7722020702468 319
"24" "{84596F} => {84596B}" 0.0169359926238657 0.802298850574713 0.021109331780463 31.6723609459638 349
"25" "{22698} => {22697}" 0.0307177172805357 0.826370757180157 0.0371718348134129 16.7773617667108 633
"31" "{22725,22726} => {22727}" 0.0109186198864464 0.812274368231047 0.0134420342602028 15.9262967708251 225
"35" "{20711,22386} => {85099B}" 0.0113068374824089 0.826241134751773 0.0136846702576794 8.13879113949799 233
"36" "{20711,22411} => {21931}" 0.0103362934925025 0.800751879699248 0.0129082350657544 13.9367347845966 213
"37" "{20711,22411} => {85099B}" 0.0105304022904838 0.815789473684211 0.0129082350657544 8.03583828117138 217
"38" "{20723,23204} => {20724}" 0.0103848206919979 0.829457364341085 0.0125200174697918 16.5305879177725 214
"39" "{22356,23204} => {20724}" 0.0103848206919979 0.859437751004016 0.012083272674334 17.1280790473305 214
"40" "{23202,23209} => {23203}" 0.011937691075848 0.833898305084746 0.0143155238511186 13.9481675104556 246
"41" "{21928,85099C} => {85099B}" 0.0122288542728199 0.823529411764706 0.014849323045567 8.11207963108762 252
"42" "{21928,22386} => {85099B}" 0.0154801766390062 0.835078534031414 0.0185373902072111 8.22584290190504 319
"43" "{21928,DOT} => {85099B}" 0.0105789294899791 0.838461538461538 0.0126170718687825 8.25916678923371 218
"44" "{22386,85099F} => {85099B}" 0.0135390886591935 0.801724137931034 0.0168874654243704 7.89728934528911 279
"47" "{22423,22698} => {22699}" 0.01606250303295 0.844387755102041 0.0190226622021643 16.3229816786001 331
"49" "{85099C,DOT} => {85099B}" 0.0105789294899791 0.801470588235294 0.0131993982627263 7.89479178382634 218
"50" "{20723,22356} => {20724}" 0.0158198670354734 0.860158311345646 0.0183918086087252 17.1424393828818 326
"51" "{20723,20727} => {20724}" 0.0109186198864464 0.800711743772242 0.0136361430581841 15.9577049360876 225
"52" "{20723,22355} => {20724}" 0.0162080846314359 0.804819277108434 0.0201387877905566 16.0395656125469 334
"53" "{20719,20723} => {20724}" 0.0158683942349687 0.805418719211823 0.0197020429950988 16.0515121342341 327
"54" "{20728,22356} => {20724}" 0.0101907118940166 0.833333333333333 0.0122288542728199 16.607833655706 210
"55" "{22379,22386} => {85099B}" 0.0117921094773621 0.812709030100334 0.0145096326490998 8.0054947338803 243
"56" "{22386,22411} => {85099B}" 0.0183432814092299 0.807692307692308 0.0227107293638084 7.95607809972055 378
"57" "{21931,22386} => {85099B}" 0.020041733391566 0.801941747572816 0.0249915077400883 7.89943288347658 413
"58" "{22386,DOT} => {85099B}" 0.0134420342602028 0.802898550724638 0.0167418838258844 7.90885776041234 277
"59" "{20727,22356} => {20724}" 0.0109186198864464 0.830258302583026 0.0131508710632309 16.5465501366813 225
"60" "{22355,22356} => {20724}" 0.0159654486339593 0.802439024390244 0.01989615179308 15.9921286031042 329
"61" "{20719,22356} => {20724}" 0.0157713398359781 0.822784810126582 0.0191682438006503 16.3976079132287 325
"62" "{21212,22356} => {20724}" 0.0104818750909885 0.837209302325581 0.0125200174697918 16.6850793936395 216
"65" "{22423,22697} => {22699}" 0.0197990973940894 0.801571709233792 0.0247003445431164 15.4952985104885 408
"66" "{22699,DOT} => {22697}" 0.0113068374824089 0.81184668989547 0.013927306255156 16.482487427267 233
"67" "{21935,22961} => {DOT}" 0.0101421846945213 0.958715596330275 0.0105789294899791 27.9043111491214 209
"68" "{21935,85099B} => {DOT}" 0.012083272674334 0.882978723404255 0.0136846702576794 25.69991886044 249
"69" "{22697,85099B} => {DOT}" 0.011015674285437 0.840740740740741 0.0131023438637356 24.4705430006277 227
"71" "{21928,21931,22411} => {85099B}" 0.0102392390935119 0.850806451612903 0.0120347454748386 8.38076890458274 211
"82" "{20712,21931,22411} => {85099B}" 0.0107730382879604 0.807272727272727 0.0133449798612122 7.95194507213628 222
